Sentiment,Tweet
0,"b""@anneapplebaum We'll see. E.U. usually moves at the speed of an aged locomotive \xf0\x9f\x9a\x82. I'm very surprised at the speed and cohesion E.U. came together with U.K./the West on humanitarian aid and military support for #Ukraine and meaningful #sanctions against #Russia and the oligarchs. #PutinsWar"""
0,"b'According to #NATO, treaties matter more than human lives.\n\n""Oh, sorry, this document says we can\'t help you. But if these OTHER people are attacked, we\'ll TOTALLY launch a #NuclearWar to defend them.""\n\nTime for #Putin to understand he faces annihilation. \n\n#Ukraine #UkraineWar'"
0,b'@JoeBiden let #ukraine down like #Afghanistan. Is it still safe to rely on the #USA?'
1,"b'@Geof17773624 Consumer impact has been but a hiccup. To generate results, the sanctions should be devastating . Sanctions should be as crippling as the carnage #Putin is inflicting on #Ukraine. IMHO'"
0,"b'The medias BS in getting Tuchel to join Man UTD by constantly being obsessed with him questioning his future. Man UTS isnt even a club? \xf0\x9f\x98\x85\n\nDaily Mail, The Sun etc no one reads your bs\xf0\x9f\x98\x82\n\n#Ukraine #Russia #war #Abramovich #Chelsea owner bid'"
0,b'- #Russia invasion of #Ukraine has overshadowed the atrocities and man-made famine #Tigrayans have fallen victim to for #500days. The IC must speak out against #TigrayGenocide and stand with the victims of war anywhere. @vickyford @EU_Commission @UKUN_NewYork @niinisto'
1,"b""The #russianbomb hasn't hit my house yet, but I'm already wounded. \nI have a bleeding wound in my heart. It hurts for #Ukraine, the dead people, children, soldiers."""
0,"b""@VP Who made you VP, you don't even know that Holi is a Hindu festival of India, not South Asia.  \nYou have mistakenly mixed festival of bloodbath of innocent by Pakistan, Afghanistan with festival of colors\nGet your facts straight\nBy the way you are losing in #Ukraine"""
0,"b""@JuliaHB1 @BorisJohnson A more accurate comparison would be to the fight #ExcludedUK after being ignored &amp; trodden over by an elected #CONman Gov, with over 30 suicides as result.\n\nHowever, nothing really compares to the #Ukraine, nor should it be used for political point scoring (or photo op's btw)."""
0,"b'Sorry #Ukraine, you are not part of our club. Good Luck!\nSigned #NATO \n\nThanks, NATO and #POTUS you are setting such a great example for democracy around the world.'"
